point,voltage1,voltage2,sensor1,sensor2,rawSensor1,rawSensor2,dacVoltage,pulse,waveType,gasType,ppm,timestamp
72,3.09413,0.588,24753,4704,24753,4704,3.3,255,0,CleanAir,0.0,2026-09-18 22:40:41
73,3.09525,0.588,24762,4704,24762,4704,3.3,255,0,CleanAir,0.0,2026-09-18 22:40:41
75,3.09675,0.58313,24774,4665,24774,4665,3.3,255,0,CleanAir,0.0,2026-09-18 22:40:42
72,3.1275,0.58738,25020,4699,25020,4699,3.3,255,0,CleanAir,0.0,2026-09-18 22:43:55
73,3.1575,0.58763,25260,4701,25260,4701,3.3,255,0,CleanAir,0.0,2026-09-18 22:43:55
74,3.12875,0.5875,25030,4700,25030,4700,3.3,255,0,CleanAir,0.0,2026-09-18 22:43:55
75,3.15825,0.5875,25266,4700,25266,4700,3.3,255,0,CleanAir,0.0,2026-09-18 22:43:56
76,3.1315,0.58813,25052,4705,25052,4705,3.3,255,0,CleanAir,0.0,2026-09-18 22:43:56
77,3.13263,0.588,25061,4704,25061,4704,3.3,255,0,CleanAir,0.0,2026-09-18 22:43:57
78,3.16325,0.58738,25306,4699,25306,4699,3.3,255,0,CleanAir,0.0,2026-09-18 22:43:57
79,3.1365,0.5845,25092,4676,25092,4676,3.3,255,0,CleanAir,0.0,2026-09-18 22:43:57
80,3.16538,0.58763,25323,4701,25323,4701,3.3,255,0,CleanAir,0.0,2026-09-18 22:43:58
81,3.16563,0.58813,25325,4705,25325,4705,3.3,255,0,CleanAir,0.0,2026-09-18 22:43:58
82,3.1665,0.58775,25332,4702,25332,4702,3.3,255,0,CleanAir,0.0,2026-09-18 22:43:59
83,3.13813,0.58788,25105,4703,25105,4703,3.3,255,0,CleanAir,0.0,2026-09-18 22:43:59
84,3.16213,0.58313,25297,4665,25297,4665,3.3,255,0,CleanAir,0.0,2026-09-18 22:43:59
85,3.14013,0.584,25121,4672,25121,4672,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:00
86,3.16988,0.584,25359,4672,25359,4672,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:00
87,3.17088,0.58413,25367,4673,25367,4673,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:00
88,3.17413,0.58475,25393,4678,25393,4678,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:01
89,3.17488,0.588,25399,4704,25399,4704,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:01
90,3.14688,0.58788,25175,4703,25175,4703,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:01
91,3.17638,0.588,25411,4704,25411,4704,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:02
92,3.1475,0.58675,25180,4694,25180,4694,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:02
93,3.17675,0.58713,25414,4697,25414,4697,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:03
94,3.17338,0.58775,25387,4702,25387,4702,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:03
95,3.17813,0.587,25425,4696,25425,4696,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:03
96,3.17913,0.58637,25433,4691,25433,4691,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:04
97,3.17913,0.58563,25433,4685,25433,4685,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:04
98,3.17963,0.58488,25437,4679,25437,4679,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:04
99,3.18075,0.58325,25446,4666,25446,4666,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:05
100,3.18063,0.58313,25445,4665,25445,4665,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:05
101,3.15125,0.58413,25210,4673,25210,4673,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:05
102,3.18063,0.58313,25445,4665,25445,4665,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:06
103,3.15175,0.58488,25214,4679,25214,4679,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:06
104,3.1815,0.58475,25452,4678,25452,4678,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:06
105,3.17588,0.58625,25407,4690,25407,4690,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:07
106,3.18163,0.58725,25453,4698,25453,4698,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:07
107,3.17613,0.5875,25409,4700,25409,4700,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:08
108,3.183,0.587,25464,4696,25464,4696,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:08
109,3.17175,0.58663,25374,4693,25374,4693,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:08
110,3.15288,0.58788,25223,4703,25223,4703,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:09
111,3.18225,0.58538,25458,4683,25458,4683,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:09
112,3.18288,0.58338,25463,4667,25463,4667,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:09
113,3.18325,0.58413,25466,4673,25466,4673,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:10
114,3.18325,0.585,25466,4680,25466,4680,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:10
115,3.18413,0.58425,25473,4674,25473,4674,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:11
116,3.17675,0.586,25414,4688,25414,4688,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:11
117,3.18375,0.587,25470,4696,25470,4696,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:12
118,3.18488,0.58637,25479,4691,25479,4691,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:12
119,3.18425,0.58825,25474,4706,25474,4706,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:12
120,3.18463,0.58438,25477,4675,25477,4675,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:13
121,3.18438,0.58513,25475,4681,25475,4681,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:13
122,3.1845,0.58425,25476,4674,25476,4674,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:14
123,3.1845,0.5855,25476,4684,25476,4684,3.3,255,0,CleanAir,0.0,2026-09-18 22:44:14
125,3.38138,0.58413,27051,4673,27051,4673,0.0,0,0,CleanAir,0.0,2026-09-18 22:44:15
126,3.36388,0.58188,26911,4655,26911,4655,0.0,0,0,CleanAir,0.0,2026-09-18 22:44:15
127,3.31113,0.5805,26489,4644,26489,4644,0.0,0,0,CleanAir,0.0,2026-09-18 22:44:15
128,3.30025,0.57875,26402,4630,26402,4630,0.0,0,0,CleanAir,0.0,2026-09-18 22:44:16
129,3.29513,0.57963,26361,4637,26361,4637,0.0,0,0,CleanAir,0.0,2026-09-18 22:44:16
130,3.2725,0.5825,26180,4660,26180,4660,0.0,0,0,CleanAir,0.0,2026-09-18 22:44:17
131,3.25138,0.58113,26011,4649,26011,4649,0.0,0,0,CleanAir,0.0,2026-09-18 22:44:17
132,3.231,0.58288,25848,4663,25848,4663,0.0,0,0,CleanAir,0.0,2026-09-18 22:44:17
133,3.20963,0.58213,25677,4657,25677,4657,0.0,0,0,CleanAir,0.0,2026-09-18 22:44:18
134,3.16075,0.58213,25286,4657,25286,4657,0.0,0,0,CleanAir,0.0,2026-09-18 22:44:18
135,3.17013,0.58125,25361,4650,25361,4650,0.0,0,0,CleanAir,0.0,2026-09-18 22:44:19
